user_id,created_at,country,plan_type,user_age,post_id,post_category,post_created_at,votes_received,user_total_posts,days_since_signup,device_type,created_at_dt,post_created_at_dt,days_since_signup_calc,reason_code
U00819,2024-04-26T02:18:59,BR,free,26.0,P0003551,travel,2024-03-28T17:18:59,10,29,0,web,2024-04-26 02:18:59,2024-03-28 17:18:59,-29.0,post_before_signup
U00356,2025-08-22T03:30:27,MX,free,18.0,P0001567,music,2025-07-22T21:30:27,6,6,0,web,2025-08-22 03:30:27,2025-07-22 21:30:27,-31.0,post_before_signup
U01746,2025-10-10T00:12:03,PE,free,25.0,P0007459,finance,2025-09-20T16:12:03,5,9,0,web,2025-10-10 00:12:03,2025-09-20 16:12:03,-20.0,post_before_signup
U01098,2024-03-24T08:07:40,CL,free,29.0,P0004691,science,2024-03-06T17:07:40,9,3,0,web,2024-03-24 08:07:40,2024-03-06 17:07:40,-18.0,post_before_signup
U00207,2024-02-03T03:31:49,PY,free,37.0,P0000905,gaming,2024-01-18T23:31:49,5,17,0,mobile,2024-02-03 03:31:49,2024-01-18 23:31:49,-16.0,post_before_signup
U00082,2024-05-13T18:02:08,BR,free,36.0,P0000313,science,2024-05-03T23:02:08,1,10,0,desktop,2024-05-13 18:02:08,2024-05-03 23:02:08,-10.0,post_before_signup
U00976,2024-12-20T17:16:17,BR,enterprise,28.0,P0004230,tech,2024-12-15T19:16:17,3,15,0,web,2024-12-20 17:16:17,2024-12-15 19:16:17,-5.0,post_before_signup
U00741,2025-03-07T12:13:22,CL,pro,16.0,P0003166,tech,2025-02-18T16:13:22,18,5,1,mobile,2025-03-07 12:13:22,2025-02-18 16:13:22,-17.0,post_before_signup
U00909,2024-08-21T13:25:38,US,free,25.0,P0003909,science,2024-08-08T12:25:38,8,14,0,web,2024-08-21 13:25:38,2024-08-08 12:25:38,-14.0,post_before_signup
U01415,2024-12-24T07:16:48,UY,pro,30.0,P0006039,sports,2024-11-29T12:16:48,15,10,0,web,2024-12-24 07:16:48,2024-11-29 12:16:48,-25.0,post_before_signup
U00576,2024-02-10T22:47:44,PY,free,16.0,P0002432,music,2024-01-21T13:47:44,8,9,0,web,2024-02-10 22:47:44,2024-01-21 13:47:44,-21.0,post_before_signup
U01396,2025-06-16T20:42:27,MX,pro,20.0,P0005974,gaming,2025-06-12T04:42:27,10,1,0,mobile,2025-06-16 20:42:27,2025-06-12 04:42:27,-5.0,post_before_signup
U00278,2025-02-06T12:25:28,UY,free,41.0,P0001235,tech,2025-02-04T00:25:28,6,6,0,web,2025-02-06 12:25:28,2025-02-04 00:25:28,-3.0,post_before_signup
U00257,2024-05-18T17:45:48,CO,free,17.0,P0001113,travel,2024-05-15T20:45:48,2,18,0,mobile,2024-05-18 17:45:48,2024-05-15 20:45:48,-3.0,post_before_signup
U01988,2025-02-18T02:07:44,PY,pro,26.0,P0008520,science,2025-01-18T11:07:44,15,16,0,mobile,2025-02-18 02:07:44,2025-01-18 11:07:44,-31.0,post_before_signup
U00145,2025-01-20T14:31:09,CO,free,16.0,P0000637,finance,2025-01-07T06:31:09,7,6,0,mobile,2025-01-20 14:31:09,2025-01-07 06:31:09,-14.0,post_before_signup
U01235,2025-08-02T05:27:42,PY,free,33.0,P0005287,finance,2025-07-19T21:27:42,11,5,0,web,2025-08-02 05:27:42,2025-07-19 21:27:42,-14.0,post_before_signup
U01176,2025-10-21T16:23:29,MX,free,24.0,P0005016,tech,2025-10-11T15:23:29,12,12,0,mobile,2025-10-21 16:23:29,2025-10-11 15:23:29,-11.0,post_before_signup
U01078,2024-09-17T11:05:16,PE,free,34.0,P0004615,sports,2024-09-05T11:05:16,3,6,0,mobile,2024-09-17 11:05:16,2024-09-05 11:05:16,-12.0,post_before_signup
U00166,2025-10-20T09:39:41,CL,enterprise,30.0,P0000721,health,2025-10-05T13:39:41,10,1,0,web,2025-10-20 09:39:41,2025-10-05 13:39:41,-15.0,post_before_signup
U00626,2024-11-13T10:34:04,US,pro,34.0,P0002595,tech,2024-11-06T05:34:04,13,1,0,web,2024-11-13 10:34:04,2024-11-06 05:34:04,-8.0,post_before_signup
U01149,2025-03-23T15:50:37,PY,free,30.0,P0004886,science,2025-02-27T23:50:37,5,15,0,web,2025-03-23 15:50:37,2025-02-27 23:50:37,-24.0,post_before_signup
U00652,2025-06-18T11:01:43,US,free,28.0,P0002705,gaming,2025-05-29T01:01:43,3,2,0,web,2025-06-18 11:01:43,2025-05-29 01:01:43,-21.0,post_before_signup
U00189,2024-03-15T14:27:34,BR,free,33.0,P0000817,science,2024-02-29T04:27:34,13,20,0,desktop,2024-03-15 14:27:34,2024-02-29 04:27:34,-16.0,post_before_signup
U00919,2025-07-10T13:56:10,ES,free,24.0,P0003952,gaming,2025-06-25T12:56:10,3,3,0,web,2025-07-10 13:56:10,2025-06-25 12:56:10,-16.0,post_before_signup
U01748,2024-05-28T13:17:51,CO,free,,P0007472,life,2024-05-05T14:17:51,12,12,0,web,2024-05-28 13:17:51,2024-05-05 14:17:51,-23.0,post_before_signup
U01878,2025-04-05T06:14:26,BR,pro,16.0,P0008069,tech,2025-03-11T17:14:26,4,18,0,mobile,2025-04-05 06:14:26,2025-03-11 17:14:26,-25.0,post_before_signup
U00189,2024-03-15T14:27:34,BR,free,33.0,P0000819,travel,2024-03-05T13:27:34,3,20,0,web,2024-03-15 14:27:34,2024-03-05 13:27:34,-11.0,post_before_signup
U01585,2024-03-12T07:46:01,CL,pro,25.0,P0006790,music,2024-02-12T09:46:01,19,16,0,desktop,2024-03-12 07:46:01,2024-02-12 09:46:01,-29.0,post_before_signup
U01787,2024-03-06T23:00:44,ES,free,18.0,P0007650,sports,2024-02-27T13:00:44,3,11,0,web,2024-03-06 23:00:44,2024-02-27 13:00:44,-9.0,post_before_signup
U01970,2024-07-17T04:55:03,CO,free,34.0,P0008426,life,2024-07-04T15:55:03,11,10,0,web,2024-07-17 04:55:03,2024-07-04 15:55:03,-13.0,post_before_signup
U01413,2025-01-22T02:09:31,AR,free,32.0,P0006022,health,2024-12-25T16:09:31,6,9,0,web,2025-01-22 02:09:31,2024-12-25 16:09:31,-28.0,post_before_signup
U00886,2025-01-21T16:50:48,MX,free,,P0003832,music,2024-12-26T13:50:48,6,10,0,web,2025-01-21 16:50:48,2024-12-26 13:50:48,-27.0,post_before_signup
U01381,2025-12-05T12:02:37,CO,free,23.0,P0005928,health,2025-11-04T15:02:37,1,5,0,mobile,2025-12-05 12:02:37,2025-11-04 15:02:37,-31.0,post_before_signup
U00754,2025-03-07T04:56:28,BR,free,,P0003216,tech,2025-02-15T11:56:28,3,10,0,web,2025-03-07 04:56:28,2025-02-15 11:56:28,-20.0,post_before_signup
U00549,2025-08-17T22:06:21,MX,free,41.0,P0002298,finance,2025-08-14T18:06:21,9,1,0,web,2025-08-17 22:06:21,2025-08-14 18:06:21,-4.0,post_before_signup
U00120,2025-06-16T10:48:28,ES,free,25.0,P0000520,travel,2025-05-28T23:48:28,8,4,0,web,2025-06-16 10:48:28,2025-05-28 23:48:28,-19.0,post_before_signup
U01914,2025-05-22T21:09:54,AR,enterprise,30.0,P0008211,travel,2025-04-26T12:09:54,1,8,0,mobile,2025-05-22 21:09:54,2025-04-26 12:09:54,-27.0,post_before_signup
U01486,2024-03-12T01:23:49,MX,free,19.0,P0006325,tech,2024-03-02T09:23:49,6,8,0,web,2024-03-12 01:23:49,2024-03-02 09:23:49,-10.0,post_before_signup
U01615,2025-04-12T12:16:55,PY,free,48.0,P0006951,gaming,2025-03-14T16:16:55,7,9,0,web,2025-04-12 12:16:55,2025-03-14 16:16:55,-29.0,post_before_signup
U01878,2025-04-05T06:14:26,BR,pro,16.0,P0008070,education,2025-03-10T11:14:26,19,18,0,web,2025-04-05 06:14:26,2025-03-10 11:14:26,-26.0,post_before_signup
U01378,2025-06-19T18:02:45,US,pro,26.0,P0005902,travel,2025-05-20T09:02:45,8,22,0,mobile,2025-06-19 18:02:45,2025-05-20 09:02:45,-31.0,post_before_signup
U01614,2024-12-19T21:30:15,US,free,16.0,P0006947,science,2024-12-15T20:30:15,8,3,0,desktop,2024-12-19 21:30:15,2024-12-15 20:30:15,-5.0,post_before_signup
U01847,2025-01-09T07:22:05,UY,free,,P0007932,music,2024-12-23T13:22:05,18,1,0,desktop,2025-01-09 07:22:05,2024-12-23 13:22:05,-17.0,post_before_signup
U00630,2025-01-20T12:39:41,PY,pro,36.0,P0002602,finance,2025-01-10T18:39:41,3,6,0,web,2025-01-20 12:39:41,2025-01-10 18:39:41,-10.0,post_before_signup
U00014,2025-06-06T13:49:13,BR,pro,,P0000043,life,2025-05-25T04:49:13,9,21,0,mobile,2025-06-06 13:49:13,2025-05-25 04:49:13,-13.0,post_before_signup
U00379,2024-10-05T11:02:56,AR,enterprise,17.0,P0001656,gaming,2024-09-05T17:02:56,23,2,0,web,2024-10-05 11:02:56,2024-09-05 17:02:56,-30.0,post_before_signup
U01302,2025-05-13T16:06:16,MX,pro,29.0,P0005569,science,2025-04-12T19:06:16,16,9,0,web,2025-05-13 16:06:16,2025-04-12 19:06:16,-31.0,post_before_signup
U01368,2025-07-08T13:28:34,US,free,44.0,P0005834,sports,2025-06-22T01:28:34,7,11,0,mobile,2025-07-08 13:28:34,2025-06-22 01:28:34,-17.0,post_before_signup
U00165,2024-02-05T07:53:48,US,free,31.0,P0000716,sports,2024-01-12T07:53:48,9,9,0,mobile,2024-02-05 07:53:48,2024-01-12 07:53:48,-24.0,post_before_signup
U00215,2024-01-31T09:15:15,BR,free,33.0,P0000936,gaming,2024-01-08T08:15:15,11,11,0,web,2024-01-31 09:15:15,2024-01-08 08:15:15,-24.0,post_before_signup
U00158,2025-07-08T02:10:17,MX,pro,16.0,P0000687,health,2025-06-28T10:10:17,12,2,0,desktop,2025-07-08 02:10:17,2025-06-28 10:10:17,-10.0,post_before_signup
U01097,2024-09-01T06:32:17,BR,free,,P0004682,sports,2024-08-10T21:32:17,12,13,0,web,2024-09-01 06:32:17,2024-08-10 21:32:17,-22.0,post_before_signup
U00421,2024-10-28T05:18:37,MX,free,34.0,P0001797,music,2024-10-09T23:18:37,9,3,0,mobile,2024-10-28 05:18:37,2024-10-09 23:18:37,-19.0,post_before_signup
U00164,2024-06-07T00:42:41,MX,free,17.0,P0000710,finance,2024-05-22T05:42:41,13,2,0,web,2024-06-07 00:42:41,2024-05-22 05:42:41,-16.0,post_before_signup
U00983,2024-04-03T16:24:49,BR,free,30.0,P0004264,health,2024-03-27T16:24:49,8,10,0,web,2024-04-03 16:24:49,2024-03-27 16:24:49,-7.0,post_before_signup
U00359,2024-10-15T22:01:10,BR,pro,21.0,P0001574,finance,2024-10-13T05:01:10,12,2,0,web,2024-10-15 22:01:10,2024-10-13 05:01:10,-3.0,post_before_signup
U01269,2025-01-01T16:22:36,US,pro,26.0,P0005432,tech,2024-12-07T11:22:36,9,6,0,web,2025-01-01 16:22:36,2024-12-07 11:22:36,-26.0,post_before_signup
U00289,2025-06-01T03:12:37,US,enterprise,41.0,P0001277,sports,2025-05-19T08:12:37,3,8,0,web,2025-06-01 03:12:37,2025-05-19 08:12:37,-13.0,post_before_signup
U01714,2024-08-21T20:01:59,BR,free,,P0007351,health,2024-07-25T23:01:59,8,15,0,mobile,2024-08-21 20:01:59,2024-07-25 23:01:59,-27.0,post_before_signup
U01008,2024-12-28T04:22:48,CO,pro,,P0004345,life,2024-12-19T19:22:48,6,26,0,web,2024-12-28 04:22:48,2024-12-19 19:22:48,-9.0,post_before_signup
U01685,2024-11-29T09:07:45,CO,free,42.0,P0007240,life,2024-11-21T03:07:45,10,4,0,mobile,2024-11-29 09:07:45,2024-11-21 03:07:45,-9.0,post_before_signup
U01054,2024-11-05T00:43:18,PE,free,24.0,P0004545,gaming,2024-10-07T19:43:18,6,10,0,web,2024-11-05 00:43:18,2024-10-07 19:43:18,-29.0,post_before_signup
U00516,2024-04-12T20:16:22,US,free,32.0,P0002153,sports,2024-03-30T15:16:22,5,28,0,desktop,2024-04-12 20:16:22,2024-03-30 15:16:22,-14.0,post_before_signup
U00349,2025-12-28T12:28:47,BR,free,26.0,P0001541,tech,2025-12-15T20:28:47,23,1,0,web,2025-12-28 12:28:47,2025-12-15 20:28:47,-13.0,post_before_signup
U00665,2024-11-03T04:05:20,MX,free,22.0,P0002787,music,2024-10-16T18:05:20,10,1,0,web,2024-11-03 04:05:20,2024-10-16 18:05:20,-18.0,post_before_signup
U00243,2025-02-03T13:41:27,PY,free,35.0,P0001060,finance,2025-01-31T12:41:27,2,15,0,mobile,2025-02-03 13:41:27,2025-01-31 12:41:27,-4.0,post_before_signup
U20001,2025-02-30T10:00:00,PY,pro,29.0,P0099001,tech,2025-03-01T10:00:00,4,3,1,web,,2025-03-01 10:00:00,,unparseable_date
U20002,2025-04-10T09:15:00,BR,premium,34.0,P0099002,finance,2025-04-12T12:00:00,8,5,2,mobile,2025-04-10 09:15:00,2025-04-12 12:00:00,2.0,invalid_plan
U20003,2025-01-05T08:00:00,US,free,22.0,P0099003,health,2025-01-07T18:00:00,1,2,2,tablet,2025-01-05 08:00:00,2025-01-07 18:00:00,2.0,invalid_device
U20004,2024-11-20T14:30:00,AR,pro,41.0,P0099004,politics,2024-11-25T09:00:00,6,7,5,desktop,2024-11-20 14:30:00,2024-11-25 09:00:00,4.0,invalid_category
U20005,2025-06-01T00:00:00,CL,vip,27.0,P0099005,mistery,2025-06-02T00:00:00,3,1,1,console,2025-06-01 00:00:00,2025-06-02 00:00:00,1.0,invalid_plan | invalid_device | invalid_category
U20006,2025-05-10T00:00:00,PY,free,30.0,P0099006,travel,2025-05-09T23:00:00,2,4,0,web,2025-05-10 00:00:00,2025-05-09 23:00:00,-1.0,post_before_signup
U20007,2025-03-15T12:00:00,MX,enterprise,38.0,P0099007,science,2025-99-99T00:00:00,5,10,10,web,2025-03-15 12:00:00,,,unparseable_date
U20009,2025-08-01T10:10:10,CO,enterprise+,45.0,P0099009,education,2025-08-03T10:10:10,0,2,2,desktop,2025-08-01 10:10:10,2025-08-03 10:10:10,2.0,invalid_plan
U20010,2025-09-01T05:05:05,ES,free,,P0099010,tech,2025-09-02T05:05:05,9,1,1,phone,2025-09-01 05:05:05,2025-09-02 05:05:05,1.0,invalid_device
